climdiv,climdiv_state_code,cdnew,state_fips,fips_cd,climdiv_name,climdiv_state_abrv,climdiv_state_name,climdiv_mean_mass_content_of_water_in_soil,climdiv_standard_deviation_mass_content_of_water_in_soil,climdiv_area_for_mass_content_of_water_in_soil,climdiv_mean_surface_elevation,climdiv_standard_deviation_surface_elevation,climdiv_area_for_surface_elevation,climdiv_mean_longitude,climdiv_mean_latitude
101,1,1,1,101,Northern Valley,AL,Alabama,167.40298,36.358162,24525177000.0,198.30896,37.39301,24525177000.0,-87.26411,34.66451
102,1,2,1,102,Appalachian Mountain,AL,Alabama,123.32596,24.550142,26739309000.0,237.64696,87.29612,26739309000.0,-86.40522,34.209763
103,1,3,1,103,Upper Plains,AL,Alabama,170.64365,49.394608,39578837000.0,123.10603,47.929325,39578837000.0,-87.47738,33.448208
104,1,4,1,104,Eastern Valley,AL,Alabama,161.42238,27.910069,20299420000.0,188.75397,41.870296,20299420000.0,-86.1289,33.68682
105,1,5,1,105,Piedmont Plateau,AL,Alabama,163.6561,28.725683,26468168000.0,208.2887,70.65164,26468168000.0,-85.74207,33.000534
106,1,6,1,106,Prairie,AL,Alabama,201.98386,19.545929,40292606000.0,66.83625,32.72282,40292606000.0,-87.084435,32.4116
107,1,7,1,107,Coastal Plain,AL,Alabama,185.19606,19.270838,75457135000.0,76.14835,33.06064,75457135000.0,-86.700806,31.587084
108,1,8,1,108,Gulf,AL,Alabama,201.37148,44.148975,17647567000.0,25.650017,22.465715,17647567000.0,-87.94508,30.699669
201,2,1,4,401,Northwest,AZ,Arizona,73.871544,47.97451,70515786000.0,1071.9047,445.669,70515786000.0,-113.75951,35.69231
202,2,2,4,402,Northeast,AZ,Arizona,113.46058,48.578934,205576110000.0,1824.1245,295.83453,205576110000.0,-110.77008,35.596672
203,2,3,4,403,North Central,AZ,Arizona,110.372055,46.655426,41755877000.0,1305.1262,334.24167,41755877000.0,-112.53949,34.599915
204,2,4,4,404,East Central,AZ,Arizona,111.46822,37.93642,25179980000.0,1321.0929,333.51346,25179980000.0,-110.81417,33.80018
205,2,5,4,405,Southwest,AZ,Arizona,93.50517,45.628445,53217970000.0,312.21106,183.18663,53217970000.0,-113.929344,33.200256
206,2,6,4,406,South Central,AZ,Arizona,122.533195,65.037315,75758260000.0,556.1991,264.1786,75758260000.0,-112.052666,33.17888
207,2,7,4,407,Southeast,AZ,Arizona,124.26665,59.291992,119202760000.0,1143.3732,418.30853,119202760000.0,-110.6057,32.24989
301,3,1,5,501,Northwest,AR,Arkansas,135.28894,31.313648,24707903000.0,394.42377,78.88132,24707903000.0,-93.729416,36.13311
302,3,2,5,502,North Central,AR,Arkansas,125.89496,28.65385,28899410000.0,219.74602,74.481186,28899410000.0,-92.20319,36.002583
303,3,3,5,503,Northeast,AR,Arkansas,223.13582,53.497673,38544978000.0,88.127975,31.377686,38544978000.0,-90.92944,35.815235
304,3,4,5,504,West Central,AR,Arkansas,150.81082,26.945642,34262850000.0,227.782,99.529686,34262850000.0,-93.77597,35.177032
305,3,5,5,505,Central,AR,Arkansas,157.77596,46.085213,27927536000.0,125.59828,55.804726,27927536000.0,-92.673615,34.7266
306,3,6,5,506,East Central,AR,Arkansas,245.12012,31.789791,35771093000.0,59.278603,9.909045,35771093000.0,-91.10568,34.803455
307,3,7,5,507,Southwest,AR,Arkansas,188.2413,51.791744,27246838000.0,134.68925,70.436775,27246838000.0,-93.86173,33.87552
308,3,8,5,508,South Central,AR,Arkansas,222.47664,24.911602,34437796000.0,63.754704,24.45619,34437796000.0,-92.77105,33.583076
309,3,9,5,509,Southeast,AR,Arkansas,236.67407,19.834044,25697376000.0,48.39157,14.633535,25697376000.0,-91.62473,33.682693
401,4,1,6,601,North Coast Drainage,CA,California,127.00681,57.50291,113534070000.0,687.832,526.01337,113606890000.0,-123.07342,40.45475
402,4,2,6,602,Sacramento Drng.,CA,California,124.643074,58.1118,142031930000.0,837.0431,661.8928,141879670000.0,-121.552025,39.93774
403,4,3,6,603,Northeast Inter. Basins,CA,California,103.84869,38.452324,36239720000.0,1826.492,406.5946,36239720000.0,-119.96869,39.730812
404,4,4,6,604,Central Coast Drng.,CA,California,124.83535,45.254684,56716760000.0,285.7617,242.0949,57028264000.0,-121.35572,36.50642
405,4,5,6,605,San Joaquin Drng.,CA,California,129.30043,52.9551,169451400000.0,760.4516,905.54236,168841480000.0,-119.79101,36.81532
406,4,6,6,606,South Coast Drng.,CA,California,108.84249,44.103725,83315876000.0,484.3179,478.06998,83315876000.0,-118.327095,33.984825
407,4,7,6,607,Southeast Desert Basin,CA,California,82.47374,38.4039,237114880000.0,821.74927,559.30634,225444940000.0,-116.506874,34.96361
501,5,1,8,801,Arkansas Drainage Basin,CO,Colorado,162.10603,60.571335,144356540000.0,1726.7694,544.8956,144356540000.0,-103.9762,38.09814
502,5,2,8,802,Colorado Drainage Basin,CO,Colorado,132.39404,42.52604,200253050000.0,2341.578,496.28918,200253050000.0,-107.71645,39.08548
