DIVISION,NAME,STATE
0201,Northwest,Arizona
0202,Northeast,Arizona
0203,North Central,Arizona
0204,East Central,Arizona
0205,Southwest,Arizona
0206,South Central,Arizona
0207,Southeast,Arizona
0501,Arkansas Drainage Basin,Colorado
0502,Colorado Drainage Basin,Colorado
0503,Kansas Drainage Basin,Colorado
0504,Platte Drainage Basin,Colorado
0505,Rio Grande Drainage Basin,Colorado
0601,Northwest,Connecticut
0602,Central,Connecticut
0603,Coastal,Connecticut
0701,Northern,Delaware
0702,Southern,Delaware
1001,Panhandle,Idaho
1002,North Central Prairies,Idaho
1003,North Central Canyons,Idaho
1004,Central Mountains,Idaho
1005,Southwestern Valleys,Idaho
1006,Southwestern Highlands,Idaho
1007,Central Plains,Idaho
1008,Northeastern Valleys,Idaho
1009,Upper Snake River Plains,Idaho
1010,Eastern Highlands,Idaho
1101,Northwest,Illinois
1102,Northeast,Illinois
1103,West,Illinois
1104,Central,Illinois
1105,East,Illinois
1106,West Southwest,Illinois
1107,East Southeast,Illinois
1108,Southwest,Illinois
1109,Southeast,Illinois
1201,Northwest,Indiana
1202,North Central,Indiana
1203,Northeast,Indiana
1204,West Central,Indiana
1205,Central,Indiana
1206,East Central,Indiana
1207,Southwest,Indiana
1208,South Central,Indiana
1209,Southeast,Indiana
1301,Northwest,Iowa
1302,North Central,Iowa
1303,Northeast,Iowa
1304,West Central,Iowa
1305,Central,Iowa
1306,East Central,Iowa
1307,Southwest,Iowa
1308,South Central,Iowa
1309,Southeast,Iowa
1401,Northwest,Kansas
1402,North Central,Kansas
1403,Northeast,Kansas
1404,West Central,Kansas
1405,Central,Kansas
1406,East Central,Kansas
1407,Southwest,Kansas
1408,South Central,Kansas
1409,Southeast,Kansas
1501,Western,Kentucky
1502,Central,Kentucky
1503,Blue Grass,Kentucky
1504,Eastern,Kentucky
1701,Northern,Maine
1702,Southern Interior,Maine
1703,Coastal,Maine
1901,Western,Massachusettes
1902,Central,Massachusettes
1903,Coastal,Massachusettes
2001,West Upper,Michigan
2002,East Upper,Michigan
2003,Northwest,Michigan
2004,Northeast Lower,Michigan
2005,West Central Lower,Michigan
2006,Central Lower,Michigan
2007,East Central Lower,Michigan
