HUC-08,BASIN NAME,HUC-06 BASIN,HUC-04 BASIN,HUC-02 REGION
03020101,Upper Tar,Pamlico,Neuse-Pamlico,South Atlantic-Gulf Region
03020102,Fishing,Pamlico,Neuse-Pamlico,South Atlantic-Gulf Region
03020103,Lower Tar,Pamlico,Neuse-Pamlico,South Atlantic-Gulf Region
03020104,Pamlico,Pamlico,Neuse-Pamlico,South Atlantic-Gulf Region
03020105,Pamlico Sound,Pamlico,Neuse-Pamlico,South Atlantic-Gulf Region
03020201,Upper Neuse,Neuse,Neuse-Pamlico,South Atlantic-Gulf Region
03020202,Middle Neuse,Neuse,Neuse-Pamlico,South Atlantic-Gulf Region
03020203,Contentnea,Neuse,Neuse-Pamlico,South Atlantic-Gulf Region
03020204,Lower Neuse,Neuse,Neuse-Pamlico,South Atlantic-Gulf Region
03020301,White Oak River,Onslow Bay,Neuse-Pamlico,South Atlantic-Gulf Region
03020302,New River,Onslow Bay,Neuse-Pamlico,South Atlantic-Gulf Region
03030002,Haw,Cape Fear,Cape Fear,South Atlantic-Gulf Region
03030003,Deep,Cape Fear,Cape Fear,South Atlantic-Gulf Region
03030004,Upper Cape Fear,Cape Fear,Cape Fear,South Atlantic-Gulf Region
03030005,Lower Cape Fear,Cape Fear,Cape Fear,South Atlantic-Gulf Region
03030006,Black,Cape Fear,Cape Fear,South Atlantic-Gulf Region
03030007,Northeast Cape Fear,Cape Fear,Cape Fear,South Atlantic-Gulf Region
04300101,Mettawee River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300102,Otter Creek,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300103,Winooski River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300104,Ausable River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300105,Lamoille River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300106,Saranac River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300107,Missiquoi River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300108,Lake Champlain,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300109,Richelieu River,Lake Champlain-Richelieu River,Middle Saint Lawrence River,Great Lakes Region
04300201,Chateaugay-English,Saint Francois River-Saint Lawrence River,Middle Saint Lawrence River,Great Lakes Region
04300202,St. Francois River,Saint Francois River-Saint Lawrence River,Middle Saint Lawrence River,Great Lakes Region
10020001,Red Rock,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020002,Beaverhead,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020003,Ruby,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020004,Big Hole,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020005,Jefferson,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020006,Boulder,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020007,Madison,Missouri Headwaters,Missouri Headwaters,Missouri Region
10020008,Gallatin,Missouri Headwaters,Missouri Headwaters,Missouri Region
10030101,Upper Missouri,Upper Missouri,Missouri-Marias,Missouri Region
10030102,Upper Missouri-Dearborn,Upper Missouri,Missouri-Marias,Missouri Region
10030103,Smith,Upper Missouri,Missouri-Marias,Missouri Region
10030104,Sun,Upper Missouri,Missouri-Marias,Missouri Region
10030105,Belt,Upper Missouri,Missouri-Marias,Missouri Region
10030201,Two Medicine,Marias,Missouri-Marias,Missouri Region
10030202,Cut Bank,Marias,Missouri-Marias,Missouri Region
10030203,Marias,Marias,Missouri-Marias,Missouri Region
10030204,Willow,Marias,Missouri-Marias,Missouri Region
10030205,Teton,Marias,Missouri-Marias,Missouri Region
10040101,Bullwhacker-Dog,Fort Peck Lake,Missouri-Musselshell,Missouri Region
10040102,Arrow,Fort Peck Lake,Missouri-Musselshell,Missouri Region
10040103,Judith,Fort Peck Lake,Missouri-Musselshell,Missouri Region
10040104,Fort Peck Reservoir,Fort Peck Lake,Missouri-Musselshell,Missouri Region
10040105,Big Dry,Fort Peck Lake,Missouri-Musselshell,Missouri Region
