Model,Member,NetError,Historical,SSP2-4.5,SSP3-7.0,SSP5-8.5
GFDL-ESM4,r1i1p1f1,6.15,XNP,XNP,XNP,XNP
BCC-CSM2-MR,r1i1p1f1,6.36,XNP,XNP,XNP,XNP
GFDL-CM4,r1i1p1f1,6.5,XNP,XNP,---,XNP
CNRM-CM6-1,r1i1p1f2,6.51,XNP,XNP,XNP,XNP
TaiESM1,r1i1p1f1,6.66,XNP,XNP,XNP,---
CNRM-ESM2-1,r1i1p1f2,6.68,XNP,XNP,XNP,XNP
CNRM-CM6-1-HR,r1i1p1f2,6.99,XNP,---,---,XNP
INM-CM4-8,r1i1p1f1,7.24,XNP,XNP,XNP,XNP
MIROC6,r1i1p1f1,8.17,XNP,XNP,XNP,XNP
MRI-ESM2-0,r5i1p1f1,9.4,XNP,---,XNP,---
INM-CM5-0,r4i1p1f1,9.6,XNP,---,XNP,---
HadGEM3-GC31-MM,r2i1p1f3,9.73,XNP,---,---,XNP
NorESM2-LM,r2i1p1f1,9.9,XNP,XNP,---,---
FGOALS-g3,r3i1p1f1,9.93,XNP,XNP,XNP,XNP
ACCESS-ESM1-5,r1i1p1f1,10.09,XNP,XNP,XNP,XNP
HadGEM3-GC31-LL,r3i1p1f3,10.12,XNP,---,---,XNP
EC-Earth3,r2i1p1f1,10.15,XNP,XNP,---,---
NorESM2-MM,r2i1p1f1,10.25,XNP,XNP,---,---
CanESM5,r1i1p1f1,10.6,XNP,XNP,XNP,XNP
ACCESS-CM2,r1i1p1f1,10.66,XNP,XNP,XNP,XNP
CESM2-LENS,r4i1p1f1,10.88,XNP,---,XNP,---
IPSL-CM6A-LR,r3i1p1f1,10.9,XNP,XNP,XNP,XNP
EC-Earth3-Veg,r4i1p1f1,10.94,XNP,XNP,XNP,XNP
KACE-1-0-G,r2i1p1f1,11.25,XNP,XNP,XNP,XNP
MPI-ESM1-2-HR,r10i1p1f1,11.57,XNP,---,XNP,---
AWI-CM-1-1-MR,r1i1p1f1,11.98,XNP,XNP,XNP,XNP
