Model,Member,historical,ssp245,ssp370,ssp585
GFDL-ESM4,r1i1p1f1,XNP,XNP,XNP,XNP
BCC-CSM2-MR,r1i1p1f1,XNP,XNP,XNP,XNP
GFDL-CM4,r1i1p1f1,XNP,XNP,---,XNP
CNRM-CM6-1,r1i1p1f2,XNP,XNP,XNP,XNP
TaiESM1,r1i1p1f1,XNP,XNP,XNP,---
CNRM-ESM2-1,r1i1p1f2,XNP,XNP,XNP,XNP
CNRM-CM6-1-HR,r1i1p1f2,XNP,---,---,XNP
INM-CM4-8,r1i1p1f1,XNP,XNP,XNP,XNP
MIROC6,r1i1p1f1,XNP,XNP,XNP,XNP
MRI-ESM2-0,r5i1p1f1,XNP,---,XNP,---
INM-CM5-0,r4i1p1f1,XNP,---,XNP,---
HadGEM3-GC31-MM,r2i1p1f3,XNP,---,---,XNP
NorESM2-LM,r2i1p1f1,XNP,XNP,---,---
FGOALS-g3,r3i1p1f1,XNP,XNP,XNP,XNP
ACCESS-ESM1-5,r1i1p1f1,XNP,XNP,XNP,XNP
HadGEM3-GC31-LL,r3i1p1f3,XNP,---,---,XNP
EC-Earth3,r2i1p1f1,XNP,XNP,---,---
NorESM2-MM,r2i1p1f1,XNP,XNP,---,---
CanESM5,r1i1p1f1,XNP,XNP,XNP,XNP
ACCESS-CM2,r1i1p1f1,XNP,XNP,XNP,XNP
CESM2-LENS,r4i1p1f1,XNP,---,XNP,---
IPSL-CM6A-LR,r3i1p1f1,XNP,XNP,XNP,XNP
EC-Earth3-Veg,r4i1p1f1,XNP,XNP,XNP,XNP
KACE-1-0-G,r2i1p1f1,XNP,XNP,XNP,XNP
MPI-ESM1-2-HR,r10i1p1f1,XNP,---,XNP,---
MPI-ESM1-2-LR,r10i1p1f1,XNP,XNP,XNP,__P
AWI-CM-1-1-MR,r1i1p1f1,XNP,XNP,XNP,XNP
