FID,OBJECTID,GRIDCODE,Basin,Subbasin,Mean_Elevation,Min_Elevation,Max_Elevation,Shape_Leng,Shape_Area,Longitude,Latitude
0,1,1,1,1,1844.836978,1450,2174,125430.0484,270566856.7,-103.7762932,44.15351947
1,2,2,2,2,1777.94597,1410,2187,110422.0912,109101273,-103.6743598,44.01246015
2,3,3,3,3,1106.094432,987,1342,75486.996,66862569.04,-103.2883778,44.07512946
3,4,4,4,4,1009.877082,955,1202,34094.3628,24564269.26,-103.2162535,44.08885018
4,5,5,5,5,1494.376621,1310,1735,48243.7032,29120268.27,-103.4968744,44.0985778
5,6,6,6,6,1572.540809,1345,1879,69959.6284,73974227.98,-103.5509701,44.07087605
6,7,7,7,7,1871.124636,1605,2124,63806.1882,55984935.49,-103.7970268,44.08609964
7,8,8,8,8,1075.554686,1013,1196,13076.0646,2666692.111,-103.296665,44.05892597
8,9,9,9,9,1696.50334,1449,1903,50515.4688,53729894.36,-103.6846263,44.05557528
9,10,10,10,10,1383.556552,1250,1573,29837.0416,14612650.43,-103.4303186,44.076129
10,11,11,11,11,1238.98602,1026,1520,63019.1188,31402667.51,-103.342244,44.0567627
11,12,12,12,12,1325.619742,1036,1604,68206.6156,47632323.95,-103.3830732,44.02655357
12,13,13,13,13,1419.72114,1083,1843,66882.9108,45524792.42,-103.4349583,44.04469804
13,14,14,14,14,1844.571327,1728,2110,35310.7426,21802863.82,-103.7853665,44.0478572
14,15,15,15,15,1002.177012,916,1185,69083.1216,69932752.66,-103.1829798,44.04372064
15,16,16,16,16,1882.119667,1752,2001,24542.2178,7758973.366,-103.7698029,44.01568146
16,17,17,17,17,2028.390682,1804,2186,116611.3098,205019474.9,-103.8792338,44.0159065
17,18,18,18,18,1885.711425,1764,2175,40677.115,33933209.13,-103.7959574,44.00256026
18,19,19,19,19,1484.49503,1337,1672,31482.728,13504648.53,-103.4549438,43.99766684
19,20,20,20,20,1493.495542,1364,1708,9945.6798,1642044.303,-103.449449,43.97190898
20,21,21,21,21,1564.11463,1409,1843,56203.824,48177325.57,-103.5044587,43.99130976
21,22,22,22,22,1423.616366,1187,1709,45310.0854,28586705.86,-103.4051952,43.9740367
22,23,23,23,23,1698.356748,1410,2208,108579.6376,217951603.8,-103.5890446,43.92984852
23,24,24,24,24,945.5629939,822,1154,157055.8796,397546630,-103.0171353,43.99357472
24,26,26,26,26,878.5861258,743,995,145321.4084,291726645.7,-102.7842681,43.95162644
25,28,28,28,28,1112.854017,935,1640,143156.974,201873856.6,-103.2138433,43.94084759
26,32,32,32,32,1505.028741,1155,2201,86183.97,170863801.4,-103.4363623,43.88398495
27,34,34,34,34,1896.538116,1633,2195,72106.1802,109413970.9,-103.7009123,43.88272082
28,35,35,35,35,1311.986799,1001,1879,142101.5864,264777584.6,-103.351052,43.82432535
29,37,37,37,37,912.2421069,755,1060,167395.0936,339402006.7,-102.9023259,43.83112741
30,40,40,40,40,1013.436429,856,1307,161706.737,299304671.8,-103.117799,43.80404443
31,42,42,42,42,864.252592,783,978,80638.714,101503088.4,-102.8290822,43.70910615
