climdiv,climdiv_state_code,cdnew,state_fips,fips_cd,climdiv_name,climdiv_st_abrv,climdiv_st_name,area_espg4269_m2
101,1,1,1,101,Northern Valley,AL,Alabama,12233423203
102,1,2,1,102,Appalachian Mountain,AL,Alabama,13336535148
103,1,3,1,103,Upper Plains,AL,Alabama,19737141390
104,1,4,1,104,Eastern Valley,AL,Alabama,10123417800
105,1,5,1,105,Piedmont Plateau,AL,Alabama,13197854140
106,1,6,1,106,Prairie,AL,Alabama,20088628405
107,1,7,1,107,Coastal Plain,AL,Alabama,37614037351
108,1,8,1,108,Gulf,AL,Alabama,8795380410
201,2,1,4,401,Northwest,AZ,Arizona,35182045741
202,2,2,4,402,Northeast,AZ,Arizona,1.02565E+11
203,2,3,4,403,North Central,AZ,Arizona,20827995906
204,2,4,4,404,East Central,AZ,Arizona,12557687125
205,2,5,4,405,Southwest,AZ,Arizona,26537287632
206,2,6,4,406,South Central,AZ,Arizona,37776877766
207,2,7,4,407,Southeast,AZ,Arizona,59428761115
301,3,1,5,501,Northwest,AR,Arkansas,12328576306
302,3,2,5,502,North Central,AR,Arkansas,14419604174
303,3,3,5,503,Northeast,AR,Arkansas,19231541421
304,3,4,5,504,West Central,AR,Arkansas,17092611356
305,3,5,5,505,Central,AR,Arkansas,13930750161
306,3,6,5,506,East Central,AR,Arkansas,17843557532
307,3,7,5,507,Southwest,AR,Arkansas,13588686275
308,3,8,5,508,South Central,AR,Arkansas,17173908782
309,3,9,5,509,Southeast,AR,Arkansas,12815391601
401,4,1,6,601,North Coast Drainage,CA,California,56742637934
402,4,2,6,602,Sacramento Drng.,CA,California,70931429671
403,4,3,6,603,Northeast Inter. Basins,CA,California,18097437327
404,4,4,6,604,Central Coast Drng.,CA,California,28457960968
405,4,5,6,605,San Joaquin Drng.,CA,California,84564681066
406,4,6,6,606,South Coast Drng.,CA,California,41552733167
407,4,7,6,607,Southeast Desert Basin,CA,California,1.18284E+11
501,5,1,8,801,Arkansas Drainage Basin,CO,Colorado,72061930630
502,5,2,8,802,Colorado Drainage Basin,CO,Colorado,99987771512
503,5,3,8,803,Kansas Drainage Basin,CO,Colorado,23415791083
