 Time,Division,Ensemble,Scenario,Percentile,tasmax,tasmin,pr
1950-01-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -29.50,  -39.90,    0.20      
1950-01-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -28.80,  -39.30,    0.30      
1950-01-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -28.30,  -38.90,    0.30      
1950-01-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -27.80,  -38.40,    0.30      
1950-01-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -27.10,  -36.90,    0.40      
1950-01-02 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -28.32,  -38.84,    0.31      
1950-01-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -26.80,  -33.70,    0.90      
1950-01-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -25.80,  -32.60,    1.00      
1950-01-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -25.10,  -31.90,    1.00      
1950-01-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -24.70,  -31.30,    1.00      
1950-01-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -24.00,  -30.50,    1.10      
1950-01-03 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -25.25,  -31.98,    1.02      
1950-01-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -22.00,  -30.60,    0.40      
1950-01-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -21.30,  -30.20,    0.40      
1950-01-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -21.20,  -29.90,    0.50      
1950-01-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -21.10,  -29.50,    0.60      
1950-01-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -20.70,  -28.60,    0.70      
1950-01-04 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -21.22,  -29.83,    0.50      
1950-01-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -18.80,  -31.90,    0.20      
1950-01-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -18.50,  -31.00,    0.20      
1950-01-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -18.40,  -30.40,    0.30      
1950-01-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -18.20,  -30.10,    0.30      
1950-01-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -17.70,  -29.70,    0.30      
1950-01-05 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -18.37,  -30.56,    0.26      
1950-01-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -18.30,  -25.00,    0.20      
1950-01-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -17.70,  -23.70,    0.30      
1950-01-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -17.40,  -23.20,    0.30      
1950-01-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -17.10,  -23.00,    0.30      
1950-01-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -16.50,  -22.40,    0.40      
1950-01-06 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -17.41,  -23.40,    0.31      
1950-01-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -20.90,  -25.20,    0.00      
1950-01-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -20.50,  -24.20,    0.00      
1950-01-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -20.00,  -23.90,    0.00      
1950-01-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -19.60,  -23.70,    0.00      
1950-01-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -19.00,  -23.50,    0.10      
1950-01-07 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -19.99,  -24.04,    0.02      
1950-01-08 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -22.40,  -28.50,    0.00      
